ID,Group,Entity
AUS,East Asia & Pacific,Australia
AUT,Europe & Central Asia,Austria
BEL,Europe & Central Asia,Belgium
BRA,America,Brazil
BGR,Europe & Central Asia,Bulgaria
EST,Sub-Saharan Africa,Burkina Faso
CAN,America,Canada
CHN,East Asia & Pacific,China
HRV,Europe & Central Asia,Croatia
CYP,Europe & Central Asia,Cyprus
CZE,Europe & Central Asia,Czech Republic
DNK,Europe & Central Asia,Denmark
FIN,Europe & Central Asia,Finland
FRA,Europe & Central Asia,France
DEU,Europe & Central Asia,Germany
GRC,Europe & Central Asia,Greece
HUN,Europe & Central Asia,Hungary
IND,South Asia,India
IDN,East Asia & Pacific,Indonesia
IRL,Europe & Central Asia,Ireland
ITA,Europe & Central Asia,Italy
JPN,East Asia & Pacific,Japan
KOR,East Asia & Pacific,"Korea, Rep."
LVA,Europe & Central Asia,Latvia
LTU,Europe & Central Asia,Lithuania
LUX,Europe & Central Asia,Luxembourg
MLT,Europe & Central Asia,Malta
MEX,America,Mexico
NLD,Europe & Central Asia,Netherlands
NOR,Europe & Central Asia,Norway
POL,Europe & Central Asia,Poland
PRT,Europe & Central Asia,Portugal
ROU,Europe & Central Asia,Romania
RUS,Europe & Central Asia,Russian Federation
SVK,Europe & Central Asia,Slovak Republic
SVN,Europe & Central Asia,Slovenia
ESP,Europe & Central Asia,Spain
SWE,Europe & Central Asia,Sweden
CHE,Europe & Central Asia,Switzerland
TUR,Europe & Central Asia,Turkey
GBR,Europe & Central Asia,United Kingdom
USA,America,United States
